Time,LIVING_UNIT1:SACRAMENTO METROPOLITAN AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING_UNIT1:SACRAMENTO METROPOLITAN AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING_UNIT1:SACRAMENTO METROPOLITAN AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING_UNIT1:SACRAMENTO METROPOLITAN AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,6.103057E+03,1.562616E+03,2.153884E-01,1.289983E-01
00:30:00,6.134840E+03,1.412876E+03,2.165099E-01,1.166365E-01
00:45:00,6.165286E+03,1.269482E+03,2.175843E-01,1.047987E-01
01:00:00,6.194864E+03,1.132288E+03,2.186280E-01,9.347268E-02
01:15:00,6.213001E+03,1.013155E+03,2.192679E-01,8.363778E-02
01:30:00,6.228086E+03,9.031434E+02,2.198002E-01,7.455633E-02
01:45:00,6.241242E+03,8.014827E+02,2.202645E-01,6.616420E-02
02:00:00,6.252847E+03,7.076809E+02,2.206740E-01,5.842083E-02
02:15:00,6.261021E+03,6.223235E+02,2.209624E-01,5.137453E-02
02:30:00,6.267878E+03,5.433919E+02,2.212044E-01,4.485833E-02
02:45:00,6.273767E+03,4.704169E+02,2.214122E-01,3.883391E-02
03:00:00,6.279004E+03,4.034257E+02,2.215971E-01,3.330352E-02
03:15:00,6.283406E+03,3.418330E+02,2.217524E-01,2.821881E-02
03:30:00,6.287329E+03,2.846106E+02,2.218908E-01,2.349492E-02
03:45:00,6.290890E+03,2.318779E+02,2.220165E-01,1.914171E-02
04:00:00,6.294145E+03,1.846054E+02,2.221313E-01,1.523926E-02
04:15:00,6.290580E+03,1.468174E+02,2.220055E-01,1.211979E-02
04:30:00,6.284758E+03,1.121036E+02,2.218001E-01,9.254124E-03
04:45:00,6.277488E+03,7.830327E+01,2.215436E-01,6.463893E-03
05:00:00,6.269208E+03,4.793534E+01,2.212514E-01,3.957028E-03
05:15:00,6.250819E+03,2.614868E+01,2.206025E-01,2.158874E-03
05:30:00,6.229468E+03,6.656959E+01,2.198491E-01,5.495530E-03
05:45:00,6.206206E+03,1.809967E+02,2.190283E-01,1.494160E-02
06:00:00,6.181394E+03,3.805895E+02,2.181528E-01,3.141882E-02
06:15:00,6.159479E+03,6.598627E+02,2.173795E-01,5.447359E-02
06:30:00,6.138821E+03,9.630067E+02,2.166506E-01,7.949917E-02
06:45:00,6.118771E+03,1.272209E+03,2.159431E-01,1.050246E-01
07:00:00,6.099130E+03,1.564972E+03,2.152501E-01,1.291922E-01
07:15:00,6.092623E+03,1.844169E+03,2.150206E-01,1.522396E-01
07:30:00,6.088232E+03,2.114041E+03,2.148656E-01,1.745173E-01
07:45:00,6.085142E+03,2.377232E+03,2.147566E-01,1.962435E-01
08:00:00,6.083011E+03,2.640900E+03,2.146814E-01,2.180090E-01
08:15:00,6.120324E+03,2.862584E+03,2.159983E-01,2.363086E-01
08:30:00,6.162551E+03,3.080742E+03,2.174882E-01,2.543171E-01
08:45:00,6.207851E+03,3.301607E+03,2.190864E-01,2.725491E-01
09:00:00,6.255420E+03,3.525083E+03,2.207646E-01,2.909967E-01
09:15:00,6.278948E+03,3.768106E+03,2.215943E-01,3.110580E-01
09:30:00,6.301175E+03,4.004856E+03,2.223782E-01,3.306019E-01
09:45:00,6.322873E+03,4.233449E+03,2.231435E-01,3.494724E-01
10:00:00,6.344224E+03,4.451304E+03,2.238966E-01,3.674566E-01
10:15:00,6.350665E+03,4.669715E+03,2.241236E-01,3.854872E-01
10:30:00,6.355404E+03,4.876132E+03,2.242907E-01,4.025275E-01
10:45:00,6.359010E+03,5.067271E+03,2.244178E-01,4.183065E-01
