Time,LIVING_UNIT1:SACRAMENTO METROPOLITAN AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING_UNIT1:SACRAMENTO METROPOLITAN AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING_UNIT1:SACRAMENTO METROPOLITAN AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING_UNIT1:SACRAMENTO METROPOLITAN AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
19:30:00,5.319823E+03,5.372424E+03,1.877506E-01,4.434966E-01
19:45:00,5.305483E+03,5.067814E+03,1.872446E-01,4.183509E-01
20:00:00,5.291379E+03,4.826862E+03,1.867469E-01,3.984606E-01
20:15:00,5.283312E+03,4.653801E+03,1.864621E-01,3.841754E-01
20:30:00,5.276849E+03,4.523214E+03,1.862338E-01,3.733962E-01
20:45:00,5.271226E+03,4.408985E+03,1.860352E-01,3.639679E-01
21:00:00,5.266198E+03,4.302870E+03,1.858576E-01,3.552092E-01
21:15:00,5.272192E+03,4.186069E+03,1.860690E-01,3.455684E-01
21:30:00,5.282428E+03,4.065601E+03,1.864300E-01,3.356251E-01
21:45:00,5.294996E+03,3.942590E+03,1.868734E-01,3.254713E-01
22:00:00,5.309308E+03,3.817293E+03,1.873784E-01,3.151286E-01
22:15:00,5.337780E+03,3.680546E+03,1.883831E-01,3.038405E-01
22:30:00,5.367989E+03,3.544172E+03,1.894491E-01,2.925836E-01
22:45:00,5.399582E+03,3.408781E+03,1.905639E-01,2.814076E-01
23:00:00,5.432322E+03,3.274793E+03,1.917191E-01,2.703476E-01
23:15:00,5.461455E+03,3.144920E+03,1.927471E-01,2.596264E-01
23:30:00,5.490578E+03,3.015665E+03,1.937747E-01,2.489556E-01
23:45:00,5.519968E+03,2.886713E+03,1.948118E-01,2.383098E-01
24:00:00,5.549716E+03,2.757867E+03,1.958615E-01,2.276727E-01
Peak,5.857336E+03,6.673204E+03,2.067141E-01,5.508833E-01

Peak Vol Flow (m3/s),,,1.717065E-01,4.575897E-01
