Time,LIVING_UNIT1:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING_UNIT1:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING_UNIT1:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING_UNIT1:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
19:30:00,3.858542E+03,8.165032E+03,1.361946E-01,6.740060E-01
19:45:00,3.839858E+03,7.706387E+03,1.355352E-01,6.361456E-01
20:00:00,3.821953E+03,7.323974E+03,1.349032E-01,6.045780E-01
20:15:00,3.811138E+03,7.033175E+03,1.345215E-01,5.805730E-01
20:30:00,3.803004E+03,6.796739E+03,1.342343E-01,5.610554E-01
20:45:00,3.796629E+03,6.585511E+03,1.340091E-01,5.436187E-01
21:00:00,3.791672E+03,6.389002E+03,1.338341E-01,5.273970E-01
21:15:00,3.799672E+03,6.185062E+03,1.341164E-01,5.105621E-01
21:30:00,3.814090E+03,5.980599E+03,1.346251E-01,4.936840E-01
21:45:00,3.832728E+03,5.777598E+03,1.352829E-01,4.769266E-01
22:00:00,3.854533E+03,5.577001E+03,1.360524E-01,4.603678E-01
22:15:00,3.892082E+03,5.369792E+03,1.373777E-01,4.432631E-01
22:30:00,3.932699E+03,5.168392E+03,1.388112E-01,4.266380E-01
22:45:00,3.975626E+03,4.973723E+03,1.403262E-01,4.105685E-01
23:00:00,4.020278E+03,4.786371E+03,1.419021E-01,3.951029E-01
23:15:00,4.061403E+03,4.609970E+03,1.433535E-01,3.805411E-01
23:30:00,4.102332E+03,4.440481E+03,1.447981E-01,3.665499E-01
23:45:00,4.143255E+03,4.277160E+03,1.462424E-01,3.530679E-01
24:00:00,4.184231E+03,4.119541E+03,1.476885E-01,3.400565E-01
Peak,4.495503E+03,1.001142E+04,1.586725E-01,8.264139E-01

Peak Vol Flow (m3/s),,,1.371458E-01,7.142962E-01
