Time,LIVING_UNIT1:SACRAMENTO METROPOLITAN AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING_UNIT1:SACRAMENTO METROPOLITAN AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING_UNIT1:SACRAMENTO METROPOLITAN AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING_UNIT1:SACRAMENTO METROPOLITAN AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,5.243940E+03,1.665929E+03,1.850701E-01,1.375273E-01
00:30:00,5.276312E+03,1.525326E+03,1.862124E-01,1.259198E-01
00:45:00,5.307354E+03,1.390728E+03,1.873078E-01,1.148081E-01
01:00:00,5.337513E+03,1.261761E+03,1.883721E-01,1.041613E-01
01:15:00,5.356373E+03,1.150415E+03,1.890375E-01,9.496917E-02
01:30:00,5.372145E+03,1.047413E+03,1.895941E-01,8.646647E-02
01:45:00,5.385984E+03,9.519084E+02,1.900825E-01,7.858260E-02
02:00:00,5.398338E+03,8.633004E+02,1.905185E-01,7.126807E-02
02:15:00,5.407233E+03,7.821655E+02,1.908324E-01,6.457042E-02
02:30:00,5.414737E+03,7.065565E+02,1.910972E-01,5.832846E-02
02:45:00,5.421199E+03,6.358843E+02,1.913252E-01,5.249408E-02
03:00:00,5.426854E+03,5.699793E+02,1.915248E-01,4.705328E-02
03:15:00,5.431628E+03,5.075578E+02,1.916933E-01,4.190008E-02
03:30:00,5.435910E+03,4.482672E+02,1.918444E-01,3.700538E-02
03:45:00,5.439803E+03,3.919601E+02,1.919817E-01,3.235699E-02
04:00:00,5.443361E+03,3.385570E+02,1.921073E-01,2.794837E-02
04:15:00,5.440217E+03,2.950176E+02,1.919963E-01,2.435404E-02
04:30:00,5.434870E+03,2.567441E+02,1.918077E-01,2.119444E-02
04:45:00,5.428047E+03,2.235666E+02,1.915669E-01,1.845555E-02
05:00:00,5.420058E+03,1.955509E+02,1.912850E-01,1.614280E-02
05:15:00,5.402050E+03,1.868012E+02,1.906495E-01,1.542047E-02
05:30:00,5.381146E+03,2.084089E+02,1.899119E-01,1.720420E-02
05:45:00,5.358282E+03,2.746969E+02,1.891052E-01,2.267647E-02
06:00:00,5.333911E+03,3.839394E+02,1.882452E-01,3.169485E-02
06:15:00,5.312215E+03,5.301993E+02,1.874797E-01,4.376899E-02
06:30:00,5.291596E+03,6.934711E+02,1.867521E-01,5.724726E-02
06:45:00,5.271515E+03,8.553625E+02,1.860435E-01,7.061136E-02
07:00:00,5.251796E+03,1.013875E+03,1.853477E-01,8.369626E-02
07:15:00,5.245073E+03,1.163149E+03,1.851105E-01,9.601858E-02
07:30:00,5.240381E+03,1.314565E+03,1.849450E-01,1.085179E-01
07:45:00,5.236986E+03,1.470073E+03,1.848252E-01,1.213550E-01
08:00:00,5.234565E+03,1.634151E+03,1.847397E-01,1.348997E-01
08:15:00,5.271301E+03,1.763904E+03,1.860362E-01,1.456107E-01
08:30:00,5.312788E+03,1.896257E+03,1.875001E-01,1.565364E-01
08:45:00,5.357373E+03,2.035871E+03,1.890731E-01,1.680615E-01
09:00:00,5.404385E+03,2.182975E+03,1.907317E-01,1.802048E-01
