Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Ground Temperature [C](Each Call),LIVING_UNIT1:Zone Mean Air Temperature [C](Each Call),ATTIC_UNIT1:Zone Mean Air Temperature [C](Each Call),LIVING_UNIT1:Zone Predicted Sensible Load to Setpoint Heat Transfer Rate [W](Hourly),ATTIC_UNIT1:Zone Predicted Sensible Load to Setpoint Heat Transfer Rate [W](Hourly),MAIN GAS HEATING COIL_UNIT1:Heating Coil Heating Rate [W](Hourly),DX COOLING COIL_UNIT1:Cooling Coil Total Cooling Rate [W](Hourly) 
 01/21  00:15:00,,18.0,22.219999999999609,-26.441848236728988 
 01/21  00:30:00,,18.0,22.219999999999897,-26.4418539136 
 01/21  00:45:00,,18.0,22.220000000000327,-26.44192421089842 
 01/21  01:00:00,-25.2,18.0,22.22000000000039,-26.442055990306373,14619.14663742029,0.0,14158.982782282274,0.0 
 01/21  01:15:00,,18.0,22.2200000000001,-26.44224533714985 
 01/21  01:30:00,,18.0,22.220000000000117,-26.442487539922597 
 01/21  01:45:00,,18.0,22.219999999999954,-26.442776813188677 
 01/21  02:00:00,-25.2,18.0,22.220000000000188,-26.443080390351484,14679.87949858628,0.0,14217.803967738171,0.0 
 01/21  02:15:00,,18.0,22.220000000000377,-26.44343910033135 
 01/21  02:30:00,,18.0,22.220000000000515,-26.443809806719174 
 01/21  02:45:00,,18.0,22.21999999999989,-26.444186443834604 
 01/21  03:00:00,-25.2,18.0,22.220000000000164,-26.444582690596797,14710.09740046083,0.0,14247.070706965384,0.0 
 01/21  03:15:00,,18.0,22.220000000000185,-26.444994516646948 
 01/21  03:30:00,,18.0,22.22000000000006,-26.445412070671816 
 01/21  03:45:00,,18.0,22.220000000000164,-26.44582922101623 
 01/21  04:00:00,-25.2,18.0,22.220000000000217,-26.446242439279627,14722.173680799195,0.0,14258.76686472489,0.0 
 01/21  04:15:00,,18.0,22.220000000000249,-26.446684672961074 
 01/21  04:30:00,,18.0,22.2200000000002,-26.447089938231266 
 01/21  04:45:00,,18.0,22.219999999999847,-26.447458481225597 
 01/21  05:00:00,-25.2,18.0,22.22000000000017,-26.447747238645716,14700.055596719023,0.0,14237.344987003318,0.0 
 01/21  05:15:00,,18.0,22.220000000000068,-26.448130152253307 
 01/21  05:30:00,,18.0,22.219999999999645,-26.448527117592737 
 01/21  05:45:00,,18.0,22.22000000000015,-26.448863268682105 
 01/21  06:00:00,-25.2,18.0,22.219999999999783,-26.449152093651809,14609.859284609629,0.0,14149.987765555063,0.0 
 01/21  06:15:00,,18.0,22.21999999999976,-26.449417651934433 
 01/21  06:30:00,,18.0,22.22000000000041,-26.449641587771649 
 01/21  06:45:00,,18.0,22.220000000000096,-26.449821157865196 
 01/21  07:00:00,-25.2,18.0,22.220000000000146,-26.44996213634845,14526.989827863894,0.0,14069.726773560204,0.0 
 01/21  07:15:00,,18.0,22.219999999999844,-26.450065327093694 
 01/21  07:30:00,,18.0,22.219999999999997,-26.450125913236179 
 01/21  07:45:00,,18.0,22.219999999999616,-26.45015156425162 
 01/21  08:00:00,-25.2,18.0,22.220000000000245,-26.45014881214867,14508.849670981806,0.0,14052.157610644681,0.0 
 01/21  08:15:00,,18.0,22.220000000000323,-26.450114745042478 
 01/21  08:30:00,,18.0,22.21999999999998,-26.450054467699958 
 01/21  08:45:00,,18.0,22.21999999999991,-26.449973839511043 
 01/21  09:00:00,-25.2,18.0,22.22000000000016,-26.449886169685955,14682.239709915424,0.0,14220.089887183729,0.0 
 01/21  09:15:00,,18.0,22.220000000000444,-26.44978507683403 
 01/21  09:30:00,,18.0,22.220000000000366,-26.449679572988239 
 01/21  09:45:00,,18.0,22.22000000000034,-26.449581910254513 
 01/21  10:00:00,-25.2,18.0,22.21999999999992,-26.449503697136348,14772.361033942232,0.0,14307.374480933373,0.0 
 01/21  10:15:00,,18.0,22.220000000000085,-26.449441485640177 
 01/21  10:30:00,,18.0,22.219999999999854,-26.44940134775826 
 01/21  10:45:00,,18.0,22.220000000000178,-26.449377296464637 
 01/21  11:00:00,-25.2,18.0,22.22000000000017,-26.449363052115165,14790.137835681911,0.0,14324.59172596096,0.0 
 01/21  11:15:00,,18.0,22.220000000000164,-26.449359341822065 
 01/21  11:30:00,,18.0,22.22000000000017,-26.449367607514433 
 01/21  11:45:00,,18.0,22.22000000000009,-26.449387162832953 
 01/21  12:00:00,-25.2,18.0,22.22000000000041,-26.449416428381057,14795.973304527755,0.0,14330.243512961039,0.0 
 01/21  12:15:00,,18.0,22.22000000000021,-26.449453946407119 
 01/21  12:30:00,,18.0,22.22000000000014,-26.44949839116794 
 01/21  12:45:00,,18.0,22.220000000000164,-26.449548451225195 
 01/21  13:00:00,-25.2,18.0,22.219999999999965,-26.449602888811787,14799.10831754573,0.0,14333.27984582247,0.0 
 01/21  13:15:00,,18.0,22.219999999999929,-26.449660616326505 
 01/21  13:30:00,,18.0,22.22000000000032,-26.44972070290898 
 01/21  13:45:00,,18.0,22.220000000000156,-26.4497823506796 
 01/21  14:00:00,-25.2,18.0,22.2200000000004,-26.449844877980678,14803.254209167955,0.0,14337.295238071849,0.0 
 01/21  14:15:00,,18.0,22.220000000000384,-26.449907708025206 
 01/21  14:30:00,,18.0,22.220000000000288,-26.44997035403269 
 01/21  14:45:00,,18.0,22.219999999999894,-26.45003239945103 
 01/21  15:00:00,-25.2,18.0,22.21999999999955,-26.45009347820183,14804.647169331358,0.0,14338.644352316136,0.0 
 01/21  15:15:00,,18.0,22.220000000000338,-26.450177776489757 
