Time,LIVING_UNIT1:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING_UNIT1:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING_UNIT1:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING_UNIT1:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,3.904316E+03,3.864819E+03,1.378088E-01,3.190298E-01
00:30:00,3.936502E+03,3.733140E+03,1.389448E-01,3.081600E-01
00:45:00,3.967371E+03,3.608463E+03,1.400342E-01,2.978681E-01
01:00:00,3.997360E+03,3.490144E+03,1.410926E-01,2.881011E-01
01:15:00,4.016119E+03,3.389863E+03,1.417547E-01,2.798231E-01
01:30:00,4.031781E+03,3.298469E+03,1.423074E-01,2.722787E-01
01:45:00,4.045518E+03,3.214555E+03,1.427922E-01,2.653517E-01
02:00:00,4.057788E+03,3.137424E+03,1.432253E-01,2.589847E-01
02:15:00,4.066611E+03,3.067813E+03,1.435367E-01,2.532385E-01
02:30:00,4.074053E+03,3.003250E+03,1.437993E-01,2.479090E-01
02:45:00,4.080461E+03,2.943210E+03,1.440255E-01,2.429529E-01
03:00:00,4.086069E+03,2.887335E+03,1.442234E-01,2.383406E-01
03:15:00,4.090802E+03,2.834499E+03,1.443905E-01,2.339791E-01
03:30:00,4.095040E+03,2.784254E+03,1.445401E-01,2.298315E-01
03:45:00,4.098889E+03,2.736357E+03,1.446759E-01,2.258778E-01
04:00:00,4.102405E+03,2.690610E+03,1.448000E-01,2.221015E-01
04:15:00,4.099258E+03,2.654596E+03,1.446889E-01,2.191286E-01
04:30:00,4.093905E+03,2.623385E+03,1.445000E-01,2.165523E-01
04:45:00,4.087090E+03,2.596087E+03,1.442595E-01,2.142989E-01
05:00:00,4.079125E+03,2.572320E+03,1.439784E-01,2.123370E-01
05:15:00,4.061218E+03,2.563915E+03,1.433463E-01,2.116432E-01
05:30:00,4.040404E+03,2.563653E+03,1.426117E-01,2.116216E-01
05:45:00,4.017653E+03,2.570925E+03,1.418088E-01,2.122219E-01
06:00:00,3.993418E+03,2.617484E+03,1.409535E-01,2.160652E-01
06:15:00,3.971810E+03,2.738880E+03,1.401909E-01,2.260861E-01
06:30:00,3.951301E+03,2.952882E+03,1.394671E-01,2.437514E-01
06:45:00,3.931325E+03,3.254756E+03,1.387621E-01,2.686706E-01
07:00:00,3.911707E+03,3.603746E+03,1.380697E-01,2.974792E-01
07:15:00,3.905029E+03,3.946058E+03,1.378341E-01,3.257367E-01
07:30:00,3.900302E+03,4.268454E+03,1.376673E-01,3.523503E-01
07:45:00,3.896866E+03,4.569848E+03,1.375460E-01,3.772299E-01
08:00:00,3.894413E+03,4.853688E+03,1.374595E-01,4.006604E-01
08:15:00,3.931030E+03,5.078859E+03,1.387519E-01,4.192478E-01
08:30:00,3.972496E+03,5.282702E+03,1.402153E-01,4.360744E-01
