Time,LIVING_UNIT1:MINNEAPOLIS ST PAUL INTL ARP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING_UNIT1:MINNEAPOLIS ST PAUL INTL ARP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING_UNIT1:MINNEAPOLIS ST PAUL INTL ARP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING_UNIT1:MINNEAPOLIS ST PAUL INTL ARP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,1.561976E+04,1.676769E+03,5.509219E-01,1.384679E-01
00:30:00,1.565201E+04,1.567825E+03,5.520595E-01,1.294700E-01
00:45:00,1.568298E+04,1.463566E+03,5.531514E-01,1.208591E-01
01:00:00,1.571303E+04,1.363697E+03,5.542111E-01,1.126109E-01
01:15:00,1.573133E+04,1.279460E+03,5.548564E-01,1.056536E-01
01:30:00,1.574639E+04,1.202208E+03,5.553874E-01,9.927354E-02
01:45:00,1.575944E+04,1.131064E+03,5.558478E-01,9.339799E-02
02:00:00,1.577094E+04,1.065442E+03,5.562533E-01,8.797853E-02
02:15:00,1.577888E+04,1.006155E+03,5.565336E-01,8.308232E-02
02:30:00,1.578553E+04,9.507960E+02,5.567679E-01,7.851050E-02
02:45:00,1.579126E+04,8.989300E+02,5.569700E-01,7.422715E-02
03:00:00,1.579637E+04,8.503395E+02,5.571505E-01,7.021434E-02
03:15:00,1.580078E+04,8.041655E+02,5.573059E-01,6.640114E-02
03:30:00,1.580473E+04,7.600712E+02,5.574452E-01,6.275972E-02
03:45:00,1.580824E+04,7.178788E+02,5.575687E-01,5.927539E-02
04:00:00,1.581137E+04,6.774718E+02,5.576794E-01,5.593853E-02
04:15:00,1.580753E+04,6.454647E+02,5.575438E-01,5.329528E-02
04:30:00,1.580131E+04,6.172617E+02,5.573247E-01,5.096630E-02
04:45:00,1.579368E+04,5.924039E+02,5.570556E-01,4.891360E-02
05:00:00,1.578509E+04,5.706752E+02,5.567528E-01,4.711931E-02
05:15:00,1.576612E+04,5.770392E+02,5.560837E-01,4.764459E-02
05:30:00,1.574398E+04,6.402445E+02,5.553034E-01,5.286389E-02
05:45:00,1.571987E+04,7.840094E+02,5.544532E-01,6.473677E-02
06:00:00,1.569418E+04,1.009709E+03,5.535476E-01,8.337669E-02
06:15:00,1.567160E+04,1.296327E+03,5.527514E-01,1.070445E-01
06:30:00,1.565045E+04,1.604235E+03,5.520054E-01,1.324676E-01
06:45:00,1.562998E+04,1.902358E+03,5.512839E-01,1.570803E-01
