Time,LIVING_UNIT1:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING_UNIT1:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING_UNIT1:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING_UNIT1:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,3.916740E+03,3.817917E+03,1.382472E-01,3.151582E-01
00:30:00,3.948897E+03,3.688920E+03,1.393822E-01,3.045097E-01
00:45:00,3.979879E+03,3.566625E+03,1.404756E-01,2.944145E-01
01:00:00,4.009887E+03,3.450435E+03,1.415347E-01,2.848232E-01
01:15:00,4.028659E+03,3.352133E+03,1.421972E-01,2.767086E-01
01:30:00,4.044445E+03,3.262491E+03,1.427543E-01,2.693088E-01
01:45:00,4.058249E+03,3.180176E+03,1.432415E-01,2.625138E-01
02:00:00,4.070611E+03,3.104507E+03,1.436778E-01,2.562675E-01
02:15:00,4.079560E+03,3.036213E+03,1.439936E-01,2.506301E-01
02:30:00,4.087140E+03,2.972837E+03,1.442612E-01,2.453985E-01
02:45:00,4.093683E+03,2.913877E+03,1.444921E-01,2.405315E-01
03:00:00,4.099417E+03,2.858990E+03,1.446945E-01,2.360008E-01
03:15:00,4.104268E+03,2.807037E+03,1.448657E-01,2.317122E-01
03:30:00,4.108622E+03,2.757589E+03,1.450193E-01,2.276304E-01
03:45:00,4.112582E+03,2.710418E+03,1.451591E-01,2.237365E-01
04:00:00,4.116201E+03,2.665337E+03,1.452868E-01,2.200153E-01
04:15:00,4.113139E+03,2.630033E+03,1.451787E-01,2.171010E-01
04:30:00,4.107938E+03,2.599462E+03,1.449952E-01,2.145775E-01
04:45:00,4.101296E+03,2.572772E+03,1.447608E-01,2.123743E-01
