Time,LIVING_UNIT1:SACRAMENTO METROPOLITAN AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING_UNIT1:SACRAMENTO METROPOLITAN AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING_UNIT1:SACRAMENTO METROPOLITAN AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING_UNIT1:SACRAMENTO METROPOLITAN AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,5.330723E+03,2.461017E+03,1.881325E-01,2.031663E-01
00:30:00,5.353452E+03,2.353793E+03,1.889345E-01,1.943144E-01
00:45:00,5.375827E+03,2.247722E+03,1.897240E-01,1.855575E-01
01:00:00,5.398058E+03,2.142803E+03,1.905085E-01,1.768959E-01
01:15:00,5.410360E+03,2.050869E+03,1.909425E-01,1.693062E-01
01:30:00,5.420981E+03,1.963013E+03,1.913172E-01,1.620545E-01
01:45:00,5.430796E+03,1.878804E+03,1.916636E-01,1.551038E-01
02:00:00,5.440012E+03,1.798085E+03,1.919888E-01,1.484412E-01
02:15:00,5.446662E+03,1.721734E+03,1.922234E-01,1.421391E-01
02:30:00,5.452727E+03,1.648122E+03,1.924374E-01,1.360619E-01
02:45:00,5.458408E+03,1.576857E+03,1.926379E-01,1.301784E-01
03:00:00,5.463861E+03,1.507997E+03,1.928304E-01,1.244935E-01
03:15:00,5.468852E+03,1.440490E+03,1.930065E-01,1.189203E-01
03:30:00,5.473648E+03,1.374088E+03,1.931757E-01,1.134383E-01
03:45:00,5.478293E+03,1.308801E+03,1.933396E-01,1.080483E-01
04:00:00,5.482797E+03,1.244655E+03,1.934985E-01,1.027525E-01
04:15:00,5.481268E+03,1.188870E+03,1.934446E-01,9.814709E-02
04:30:00,5.478207E+03,1.136738E+03,1.933366E-01,9.384317E-02
04:45:00,5.474277E+03,1.087792E+03,1.931979E-01,8.980239E-02
05:00:00,5.469659E+03,1.041552E+03,1.930350E-01,8.598496E-02
05:15:00,5.456104E+03,1.013528E+03,1.925566E-01,8.367126E-02
05:30:00,5.440652E+03,1.022478E+03,1.920114E-01,8.441019E-02
05:45:00,5.424121E+03,1.083524E+03,1.914281E-01,8.945005E-02
06:00:00,5.406759E+03,1.194548E+03,1.908155E-01,9.861580E-02
06:15:00,5.391948E+03,1.345137E+03,1.902929E-01,1.110471E-01
06:30:00,5.377856E+03,1.506045E+03,1.897957E-01,1.243295E-01
06:45:00,5.363904E+03,1.656633E+03,1.893034E-01,1.367593E-01
07:00:00,5.349963E+03,1.794354E+03,1.888115E-01,1.481266E-01
07:15:00,5.348159E+03,1.912745E+03,1.887479E-01,1.578986E-01
07:30:00,5.347531E+03,2.026106E+03,1.887258E-01,1.672560E-01
07:45:00,5.347457E+03,2.137392E+03,1.887232E-01,1.764424E-01
08:00:00,5.347750E+03,2.251344E+03,1.887336E-01,1.858490E-01
08:15:00,5.385526E+03,2.327637E+03,1.900668E-01,1.921468E-01
08:30:00,5.426451E+03,2.402667E+03,1.915108E-01,1.983404E-01
08:45:00,5.468910E+03,2.481833E+03,1.930088E-01,2.048754E-01
09:00:00,5.512518E+03,2.566522E+03,1.945473E-01,2.118664E-01
09:15:00,5.532167E+03,2.675383E+03,1.952401E-01,2.208528E-01
09:30:00,5.550696E+03,2.784803E+03,1.958936E-01,2.298855E-01
09:45:00,5.568950E+03,2.893787E+03,1.965374E-01,2.388823E-01
10:00:00,5.587074E+03,3.001195E+03,1.971767E-01,2.477491E-01
10:15:00,5.590895E+03,3.118307E+03,1.973113E-01,2.574171E-01
10:30:00,5.593686E+03,3.233388E+03,1.974096E-01,2.669175E-01
10:45:00,5.595992E+03,3.344782E+03,1.974909E-01,2.761134E-01
11:00:00,5.597962E+03,3.452329E+03,1.975604E-01,2.849922E-01
11:15:00,5.599294E+03,3.548091E+03,1.976074E-01,2.928979E-01
11:30:00,5.600540E+03,3.637302E+03,1.976513E-01,3.002628E-01
11:45:00,5.601702E+03,3.722409E+03,1.976923E-01,3.072895E-01
12:00:00,5.602790E+03,3.805346E+03,1.977307E-01,3.141368E-01
12:15:00,5.603705E+03,3.898509E+03,1.977630E-01,3.218290E-01
12:30:00,5.604658E+03,3.999444E+03,1.977966E-01,3.301632E-01
12:45:00,5.605623E+03,4.109654E+03,1.978307E-01,3.392627E-01
13:00:00,5.606589E+03,4.230423E+03,1.978648E-01,3.492347E-01
13:15:00,5.607969E+03,4.360276E+03,1.979136E-01,3.599570E-01
13:30:00,5.609285E+03,4.496823E+03,1.979600E-01,3.712316E-01
13:45:00,5.610554E+03,4.636311E+03,1.980048E-01,3.827529E-01
14:00:00,5.611787E+03,4.775800E+03,1.980483E-01,3.942741E-01
14:15:00,5.612575E+03,4.908581E+03,1.980761E-01,4.052407E-01
14:30:00,5.613255E+03,5.031279E+03,1.981000E-01,4.153748E-01
14:45:00,5.613856E+03,5.141733E+03,1.981212E-01,4.244921E-01
15:00:00,5.614393E+03,5.238163E+03,1.981401E-01,4.324485E-01
15:15:00,5.608610E+03,5.324388E+03,1.979360E-01,4.395620E-01
15:30:00,5.601606E+03,5.394177E+03,1.976889E-01,4.453171E-01
15:45:00,5.593941E+03,5.447073E+03,1.974184E-01,4.496788E-01
16:00:00,5.585822E+03,5.482488E+03,1.971320E-01,4.525988E-01
16:15:00,5.560283E+03,5.525105E+03,1.962307E-01,4.561132E-01
16:30:00,5.531879E+03,5.560588E+03,1.952286E-01,4.590402E-01
16:45:00,5.501885E+03,5.586427E+03,1.941703E-01,4.611712E-01
17:00:00,5.470652E+03,5.603606E+03,1.930684E-01,4.625882E-01
17:15:00,5.424177E+03,5.626003E+03,1.914286E-01,4.644364E-01
17:30:00,5.377096E+03,5.637940E+03,1.897675E-01,4.654206E-01
17:45:00,5.329440E+03,5.638057E+03,1.880861E-01,4.654297E-01
18:00:00,5.281233E+03,5.621416E+03,1.863854E-01,4.640557E-01
18:15:00,5.237419E+03,5.572220E+03,1.848398E-01,4.599941E-01
18:30:00,5.193966E+03,5.488862E+03,1.833069E-01,4.531125E-01
18:45:00,5.150514E+03,5.364782E+03,1.817740E-01,4.428686E-01
19:00:00,5.106966E+03,5.189803E+03,1.802376E-01,4.284229E-01
19:15:00,5.091271E+03,4.951994E+03,1.796842E-01,4.087904E-01
19:30:00,5.076545E+03,4.709611E+03,1.791647E-01,3.887810E-01
19:45:00,5.062198E+03,4.493025E+03,1.786584E-01,3.709019E-01
20:00:00,5.048089E+03,4.323235E+03,1.781605E-01,3.568860E-01
