Time,LIVING_UNIT1:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING_UNIT1:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING_UNIT1:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING_UNIT1:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,3.915925E+03,3.816922E+03,1.382185E-01,3.150761E-01
00:30:00,3.948131E+03,3.688033E+03,1.393551E-01,3.044365E-01
00:45:00,3.979138E+03,3.565840E+03,1.404495E-01,2.943497E-01
01:00:00,4.009163E+03,3.449743E+03,1.415091E-01,2.847661E-01
01:15:00,4.028012E+03,3.351498E+03,1.421743E-01,2.766562E-01
01:30:00,4.043863E+03,3.261922E+03,1.427338E-01,2.692618E-01
01:45:00,4.057708E+03,3.179660E+03,1.432224E-01,2.624713E-01
02:00:00,4.070099E+03,3.104039E+03,1.436597E-01,2.562289E-01
02:15:00,4.079077E+03,3.035776E+03,1.439766E-01,2.505939E-01
02:30:00,4.086681E+03,2.972427E+03,1.442450E-01,2.453647E-01
02:45:00,4.093243E+03,2.913493E+03,1.444766E-01,2.404998E-01
03:00:00,4.098993E+03,2.858630E+03,1.446795E-01,2.359710E-01
03:15:00,4.103856E+03,2.806697E+03,1.448511E-01,2.316841E-01
03:30:00,4.108221E+03,2.757266E+03,1.450052E-01,2.276037E-01
03:45:00,4.112189E+03,2.710109E+03,1.451452E-01,2.237111E-01
04:00:00,4.115815E+03,2.665043E+03,1.452732E-01,2.199910E-01
04:15:00,4.112822E+03,2.629721E+03,1.451676E-01,2.170753E-01
04:30:00,4.107680E+03,2.599139E+03,1.449861E-01,2.145509E-01
04:45:00,4.101076E+03,2.572446E+03,1.447530E-01,2.123474E-01
05:00:00,4.093314E+03,2.549254E+03,1.444791E-01,2.104330E-01
05:15:00,4.075631E+03,2.541494E+03,1.438549E-01,2.097924E-01
05:30:00,4.055112E+03,2.541864E+03,1.431308E-01,2.098230E-01
05:45:00,4.032650E+03,2.549706E+03,1.423380E-01,2.104704E-01
06:00:00,4.008684E+03,2.589806E+03,1.414922E-01,2.137805E-01
06:15:00,3.987296E+03,2.683716E+03,1.407374E-01,2.215325E-01
06:30:00,3.966918E+03,2.838598E+03,1.400182E-01,2.343176E-01
06:45:00,3.947042E+03,3.047960E+03,1.393167E-01,2.516002E-01
07:00:00,3.927505E+03,3.280351E+03,1.386272E-01,2.707839E-01
07:15:00,3.920861E+03,3.499357E+03,1.383928E-01,2.888628E-01
07:30:00,3.916089E+03,3.705770E+03,1.382244E-01,3.059022E-01
07:45:00,3.912598E+03,3.903697E+03,1.381012E-01,3.222408E-01
08:00:00,3.910087E+03,4.097458E+03,1.380126E-01,3.382355E-01
08:15:00,3.946523E+03,4.245525E+03,1.392986E-01,3.504581E-01
08:30:00,3.987653E+03,4.384766E+03,1.407502E-01,3.619521E-01
08:45:00,4.031829E+03,4.519749E+03,1.423092E-01,3.730944E-01
09:00:00,4.078383E+03,4.653527E+03,1.439521E-01,3.841372E-01
09:15:00,4.101379E+03,4.807246E+03,1.447634E-01,3.968259E-01
09:30:00,4.123325E+03,4.960229E+03,1.455377E-01,4.094538E-01
09:45:00,4.144828E+03,5.111111E+03,1.462963E-01,4.219084E-01
10:00:00,4.165953E+03,5.258907E+03,1.470417E-01,4.341081E-01
10:15:00,4.172291E+03,5.415699E+03,1.472652E-01,4.470504E-01
10:30:00,4.177101E+03,5.566920E+03,1.474349E-01,4.595329E-01
10:45:00,4.180837E+03,5.710983E+03,1.475666E-01,4.714245E-01
11:00:00,4.183823E+03,5.846383E+03,1.476720E-01,4.826010E-01
11:15:00,4.185784E+03,5.969377E+03,1.477411E-01,4.927535E-01
11:30:00,4.187334E+03,6.080032E+03,1.477958E-01,5.018872E-01
11:45:00,4.188662E+03,6.179824E+03,1.478426E-01,5.101243E-01
12:00:00,4.189817E+03,6.271045E+03,1.478834E-01,5.176539E-01
12:15:00,4.190716E+03,6.360495E+03,1.479152E-01,5.250370E-01
12:30:00,4.191594E+03,6.451656E+03,1.479462E-01,5.325615E-01
12:45:00,4.192443E+03,6.549047E+03,1.479761E-01,5.405997E-01
13:00:00,4.193261E+03,6.655948E+03,1.480050E-01,5.494226E-01
13:15:00,4.194464E+03,6.771967E+03,1.480475E-01,5.589983E-01
13:30:00,4.195570E+03,6.896779E+03,1.480865E-01,5.693000E-01
13:45:00,4.196598E+03,7.027627E+03,1.481228E-01,5.800987E-01
14:00:00,4.197561E+03,7.161088E+03,1.481568E-01,5.911131E-01
14:15:00,4.198051E+03,7.292094E+03,1.481741E-01,6.019248E-01
14:30:00,4.198396E+03,7.417730E+03,1.481862E-01,6.122932E-01
14:45:00,4.198624E+03,7.535298E+03,1.481943E-01,6.219972E-01
15:00:00,4.198754E+03,7.642834E+03,1.481988E-01,6.308745E-01
15:15:00,4.192154E+03,7.744693E+03,1.479659E-01,6.392845E-01
15:30:00,4.183786E+03,7.833776E+03,1.476705E-01,6.466408E-01
15:45:00,4.174320E+03,7.908571E+03,1.473365E-01,6.528182E-01
16:00:00,4.164003E+03,7.967511E+03,1.469724E-01,6.576861E-01
16:15:00,4.135010E+03,8.034640E+03,1.459491E-01,6.632293E-01
