Time,LIVING_UNIT1:MINNEAPOLIS ST PAUL INTL ARP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING_UNIT1:MINNEAPOLIS ST PAUL INTL ARP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING_UNIT1:MINNEAPOLIS ST PAUL INTL ARP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING_UNIT1:MINNEAPOLIS ST PAUL INTL ARP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,1.640735E+04,1.650873E+03,5.787008E-01,1.363289E-01
00:30:00,1.643945E+04,1.541145E+03,5.798327E-01,1.272663E-01
00:45:00,1.647025E+04,1.436397E+03,5.809188E-01,1.186151E-01
01:00:00,1.650014E+04,1.336251E+03,5.819729E-01,1.103440E-01
01:15:00,1.651824E+04,1.251609E+03,5.826107E-01,1.033533E-01
01:30:00,1.653309E+04,1.173653E+03,5.831346E-01,9.691517E-02
01:45:00,1.654586E+04,1.101317E+03,5.835850E-01,9.094115E-02
02:00:00,1.655711E+04,1.034139E+03,5.839818E-01,8.539317E-02
02:15:00,1.656485E+04,9.732922E+02,5.842549E-01,8.036803E-02
02:30:00,1.657132E+04,9.165193E+02,5.844832E-01,7.567946E-02
02:45:00,1.657701E+04,8.635030E+02,5.846837E-01,7.130118E-02
03:00:00,1.658209E+04,8.139974E+02,5.848629E-01,6.721285E-02
03:15:00,1.658644E+04,7.670318E+02,5.850164E-01,6.333433E-02
03:30:00,1.659024E+04,7.222239E+02,5.851504E-01,5.963403E-02
03:45:00,1.659370E+04,6.793955E+02,5.852721E-01,5.609723E-02
04:00:00,1.659682E+04,6.384331E+02,5.853822E-01,5.271456E-02
04:15:00,1.659290E+04,6.059027E+02,5.852442E-01,5.002815E-02
04:30:00,1.658671E+04,5.772272E+02,5.850258E-01,4.766019E-02
04:45:00,1.657901E+04,5.519996E+02,5.847544E-01,4.557698E-02
05:00:00,1.657034E+04,5.300393E+02,5.844487E-01,4.376360E-02
05:15:00,1.655126E+04,5.354362E+02,5.837758E-01,4.420904E-02
05:30:00,1.652905E+04,6.000160E+02,5.829928E-01,4.954182E-02
05:45:00,1.650488E+04,7.446898E+02,5.821409E-01,6.148964E-02
06:00:00,1.647918E+04,9.685515E+02,5.812345E-01,7.997770E-02
06:15:00,1.645664E+04,1.251517E+03,5.804400E-01,1.033438E-01
06:30:00,1.643555E+04,1.551135E+03,5.796962E-01,1.280824E-01
06:45:00,1.641516E+04,1.839064E+03,5.789771E-01,1.518534E-01
07:00:00,1.639531E+04,2.108200E+03,5.782774E-01,1.740705E-01
07:15:00,1.638885E+04,2.345158E+03,5.780499E-01,1.936316E-01
07:30:00,1.638462E+04,2.568035E+03,5.779008E-01,2.120308E-01
07:45:00,1.638173E+04,2.780022E+03,5.777989E-01,2.295309E-01
08:00:00,1.637982E+04,2.987360E+03,5.777315E-01,2.466473E-01
08:15:00,1.641793E+04,3.153419E+03,5.790757E-01,2.603563E-01
08:30:00,1.646129E+04,3.307849E+03,5.806038E-01,2.731056E-01
08:45:00,1.650783E+04,3.455012E+03,5.822439E-01,2.852553E-01
09:00:00,1.655655E+04,3.594921E+03,5.839601E-01,2.968063E-01
09:15:00,1.658083E+04,3.747689E+03,5.848146E-01,3.094193E-01
09:30:00,1.660357E+04,3.891068E+03,5.856153E-01,3.212571E-01
09:45:00,1.662555E+04,4.021631E+03,5.863893E-01,3.320369E-01
10:00:00,1.664711E+04,4.139476E+03,5.871490E-01,3.417667E-01
10:15:00,1.665355E+04,4.256730E+03,5.873753E-01,3.514503E-01
10:30:00,1.665806E+04,4.361324E+03,5.875339E-01,3.600896E-01
10:45:00,1.666148E+04,4.454653E+03,5.876545E-01,3.677988E-01
11:00:00,1.666414E+04,4.536066E+03,5.877482E-01,3.745242E-01
11:15:00,1.666577E+04,4.597484E+03,5.878058E-01,3.795960E-01
11:30:00,1.666713E+04,4.647391E+03,5.878538E-01,3.837200E-01
11:45:00,1.666828E+04,4.689611E+03,5.878943E-01,3.872114E-01
12:00:00,1.666925E+04,4.728245E+03,5.879284E-01,3.904069E-01
12:15:00,1.666999E+04,4.780105E+03,5.879547E-01,3.946989E-01
12:30:00,1.667074E+04,4.842932E+03,5.879814E-01,3.998982E-01
12:45:00,1.667149E+04,4.921218E+03,5.880079E-01,4.063726E-01
13:00:00,1.667222E+04,5.019085E+03,5.880339E-01,4.144643E-01
13:15:00,1.667334E+04,5.134604E+03,5.880734E-01,4.240275E-01
13:30:00,1.667436E+04,5.265340E+03,5.881093E-01,4.348461E-01
13:45:00,1.667531E+04,5.405866E+03,5.881427E-01,4.464742E-01
14:00:00,1.667620E+04,5.550219E+03,5.881740E-01,4.584189E-01
14:15:00,1.667660E+04,5.693162E+03,5.881879E-01,4.702301E-01
14:30:00,1.667684E+04,5.828991E+03,5.881962E-01,4.814502E-01
14:45:00,1.667696E+04,5.954014E+03,5.882003E-01,4.917768E-01
15:00:00,1.667698E+04,6.063976E+03,5.882011E-01,5.008483E-01
15:15:00,1.666984E+04,6.164207E+03,5.879491E-01,5.091029E-01
15:30:00,1.666076E+04,6.247281E+03,5.876290E-01,5.159390E-01
15:45:00,1.665050E+04,6.310540E+03,5.872674E-01,5.211306E-01
16:00:00,1.663936E+04,6.354846E+03,5.868748E-01,5.247629E-01
16:15:00,1.660881E+04,6.397934E+03,5.857976E-01,5.283072E-01
16:30:00,1.657371E+04,6.430462E+03,5.845604E-01,5.309807E-01
16:45:00,1.653582E+04,6.449126E+03,5.832250E-01,5.325117E-01
17:00:00,1.649590E+04,6.454282E+03,5.818181E-01,5.329297E-01
17:15:00,1.644027E+04,6.464508E+03,5.798571E-01,5.337668E-01
17:30:00,1.638367E+04,6.459534E+03,5.778619E-01,5.333490E-01
17:45:00,1.632637E+04,6.439372E+03,5.758427E-01,5.316826E-01
18:00:00,1.626851E+04,6.397569E+03,5.738042E-01,5.282274E-01
18:15:00,1.621565E+04,6.316265E+03,5.719421E-01,5.215093E-01
18:30:00,1.616386E+04,6.190451E+03,5.701176E-01,5.111159E-01
18:45:00,1.611255E+04,6.009231E+03,5.683094E-01,4.961476E-01
19:00:00,1.606152E+04,5.755003E+03,5.665111E-01,4.751552E-01
19:15:00,1.603947E+04,5.404603E+03,5.657346E-01,4.462228E-01
19:30:00,1.601936E+04,4.994765E+03,5.650255E-01,4.123828E-01
19:45:00,1.600039E+04,4.588778E+03,5.643565E-01,3.788611E-01
20:00:00,1.598227E+04,4.235021E+03,5.637168E-01,3.496540E-01
20:15:00,1.597177E+04,3.948561E+03,5.633456E-01,3.260044E-01
20:30:00,1.596431E+04,3.743447E+03,5.630815E-01,3.090737E-01
20:45:00,1.595872E+04,3.578760E+03,5.628836E-01,2.954819E-01
21:00:00,1.595450E+04,3.435573E+03,5.627341E-01,2.836658E-01
21:15:00,1.596451E+04,3.290458E+03,5.630868E-01,2.716920E-01
21:30:00,1.598150E+04,3.147311E+03,5.636851E-01,2.598782E-01
21:45:00,1.600278E+04,3.006244E+03,5.644351E-01,2.482348E-01
22:00:00,1.602724E+04,2.865922E+03,5.652975E-01,2.366501E-01
22:15:00,1.606743E+04,2.716726E+03,5.667149E-01,2.243298E-01
22:30:00,1.611077E+04,2.571019E+03,5.682431E-01,2.122970E-01
22:45:00,1.615616E+04,2.427293E+03,5.698437E-01,2.004339E-01
23:00:00,1.620313E+04,2.286941E+03,5.714999E-01,1.888496E-01
23:15:00,1.624619E+04,2.153067E+03,5.730180E-01,1.778000E-01
23:30:00,1.628856E+04,2.021223E+03,5.745120E-01,1.669174E-01
23:45:00,1.633073E+04,1.892606E+03,5.759989E-01,1.562947E-01
24:00:00,1.637282E+04,1.766227E+03,5.774830E-01,1.458565E-01
Peak,1.667698E+04,6.464508E+03,5.882011E-01,5.337668E-01

Peak Vol Flow (m3/s),,,5.033895E-01,4.568040E-01
