Time,LIVING_UNIT1:SACRAMENTO METROPOLITAN AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING_UNIT1:SACRAMENTO METROPOLITAN AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING_UNIT1:SACRAMENTO METROPOLITAN AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING_UNIT1:SACRAMENTO METROPOLITAN AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,5.806725E+03,2.605549E+03,2.049304E-01,2.150982E-01
00:30:00,5.829489E+03,2.484401E+03,2.057336E-01,2.050967E-01
00:45:00,5.851889E+03,2.365275E+03,2.065240E-01,1.952621E-01
01:00:00,5.874138E+03,2.248346E+03,2.073091E-01,1.856090E-01
01:15:00,5.886436E+03,2.145292E+03,2.077430E-01,1.771014E-01
01:30:00,5.897050E+03,2.046930E+03,2.081175E-01,1.689823E-01
01:45:00,5.906783E+03,1.952676E+03,2.084609E-01,1.612024E-01
02:00:00,5.915928E+03,1.862072E+03,2.087836E-01,1.537238E-01
02:15:00,5.922522E+03,1.775997E+03,2.090163E-01,1.466190E-01
02:30:00,5.928539E+03,1.692939E+03,2.092286E-01,1.397619E-01
02:45:00,5.934240E+03,1.612552E+03,2.094298E-01,1.331253E-01
03:00:00,5.939702E+03,1.534904E+03,2.096225E-01,1.267148E-01
03:15:00,5.944682E+03,1.458813E+03,2.097982E-01,1.204329E-01
03:30:00,5.949460E+03,1.384022E+03,2.099668E-01,1.142583E-01
03:45:00,5.954082E+03,1.310499E+03,2.101300E-01,1.081884E-01
04:00:00,5.958561E+03,1.238241E+03,2.102880E-01,1.022229E-01
04:15:00,5.956995E+03,1.174639E+03,2.102327E-01,9.697207E-02
04:30:00,5.953894E+03,1.114937E+03,2.101233E-01,9.204319E-02
04:45:00,5.949921E+03,1.058600E+03,2.099831E-01,8.739219E-02
05:00:00,5.945258E+03,1.005498E+03,2.098186E-01,8.300824E-02
05:15:00,5.931648E+03,9.744986E+02,2.093383E-01,8.044896E-02
05:30:00,5.916140E+03,9.972998E+02,2.087912E-01,8.233130E-02
05:45:00,5.899548E+03,1.101198E+03,2.082057E-01,9.090901E-02
06:00:00,5.882124E+03,1.283476E+03,2.075909E-01,1.059576E-01
06:15:00,5.867260E+03,1.527013E+03,2.070665E-01,1.260626E-01
06:30:00,5.853119E+03,1.787127E+03,2.065675E-01,1.475349E-01
06:45:00,5.839127E+03,2.027841E+03,2.060738E-01,1.674048E-01
07:00:00,5.825150E+03,2.244034E+03,2.055806E-01,1.852497E-01
07:15:00,5.823324E+03,2.430287E+03,2.055163E-01,2.006234E-01
07:30:00,5.822674E+03,2.603146E+03,2.054934E-01,2.148920E-01
07:45:00,5.822587E+03,2.767575E+03,2.054904E-01,2.284651E-01
08:00:00,5.822868E+03,2.930596E+03,2.055003E-01,2.419221E-01
08:15:00,5.860663E+03,3.052621E+03,2.068342E-01,2.519950E-01
08:30:00,5.901608E+03,3.170196E+03,2.082789E-01,2.617005E-01
08:45:00,5.944103E+03,3.289453E+03,2.097781E-01,2.715449E-01
09:00:00,5.987752E+03,3.411453E+03,2.113180E-01,2.816159E-01
09:15:00,6.007423E+03,3.554445E+03,2.120116E-01,2.934197E-01
09:30:00,6.025974E+03,3.693961E+03,2.126658E-01,3.049369E-01
09:45:00,6.044237E+03,3.828626E+03,2.133099E-01,3.160537E-01
10:00:00,6.062363E+03,3.956988E+03,2.139492E-01,3.266503E-01
10:15:00,6.066174E+03,4.089646E+03,2.140834E-01,3.376018E-01
10:30:00,6.068955E+03,4.215397E+03,2.141814E-01,3.479831E-01
10:45:00,6.071244E+03,4.332713E+03,2.142621E-01,3.576680E-01
11:00:00,6.073197E+03,4.441923E+03,2.143309E-01,3.666842E-01
11:15:00,6.074512E+03,4.533627E+03,2.143773E-01,3.742551E-01
11:30:00,6.075740E+03,4.616400E+03,2.144206E-01,3.810887E-01
11:45:00,6.076884E+03,4.694722E+03,2.144610E-01,3.875554E-01
12:00:00,6.077954E+03,4.772045E+03,2.144987E-01,3.939396E-01
12:15:00,6.078853E+03,4.865434E+03,2.145305E-01,4.016508E-01
12:30:00,6.079791E+03,4.971783E+03,2.145636E-01,4.104324E-01
12:45:00,6.080743E+03,5.093214E+03,2.145972E-01,4.204586E-01
13:00:00,6.081695E+03,5.231663E+03,2.146309E-01,4.318906E-01
13:15:00,6.083062E+03,5.386207E+03,2.146791E-01,4.446519E-01
13:30:00,6.084363E+03,5.553158E+03,2.147250E-01,4.584371E-01
13:45:00,6.085617E+03,5.727533E+03,2.147693E-01,4.728396E-01
14:00:00,6.086835E+03,5.905228E+03,2.148123E-01,4.875161E-01
14:15:00,6.087608E+03,6.077599E+03,2.148395E-01,5.017520E-01
14:30:00,6.088272E+03,6.239843E+03,2.148629E-01,5.151519E-01
14:45:00,6.088856E+03,6.388326E+03,2.148835E-01,5.274088E-01
15:00:00,6.089376E+03,6.519986E+03,2.149018E-01,5.382727E-01
15:15:00,6.083565E+03,6.637468E+03,2.146967E-01,5.479657E-01
15:30:00,6.076531E+03,6.734029E+03,2.144485E-01,5.559295E-01
15:45:00,6.068831E+03,6.808736E+03,2.141768E-01,5.620905E-01
16:00:00,6.060677E+03,6.860782E+03,2.138891E-01,5.663825E-01
16:15:00,6.035082E+03,6.915517E+03,2.129859E-01,5.708964E-01
16:30:00,6.006625E+03,6.958539E+03,2.119819E-01,5.744453E-01
16:45:00,5.976567E+03,6.986747E+03,2.109214E-01,5.767713E-01
17:00:00,5.945271E+03,7.001811E+03,2.098173E-01,5.780133E-01
17:15:00,5.898734E+03,7.018079E+03,2.081753E-01,5.793554E-01
17:30:00,5.851594E+03,7.018665E+03,2.065121E-01,5.794022E-01
17:45:00,5.803881E+03,7.001523E+03,2.048289E-01,5.779865E-01
18:00:00,5.755622E+03,6.959079E+03,2.031264E-01,5.744823E-01
18:15:00,5.711773E+03,6.871917E+03,2.015796E-01,5.672858E-01
18:30:00,5.668295E+03,6.734966E+03,2.000459E-01,5.559798E-01
18:45:00,5.624828E+03,6.537248E+03,1.985125E-01,5.396568E-01
19:00:00,5.581273E+03,6.261715E+03,1.969759E-01,5.169100E-01
19:15:00,5.565587E+03,5.895489E+03,1.964228E-01,4.866769E-01
19:30:00,5.550873E+03,5.516627E+03,1.959038E-01,4.554009E-01
19:45:00,5.536551E+03,5.175593E+03,1.953984E-01,4.272483E-01
20:00:00,5.522473E+03,4.907621E+03,1.949016E-01,4.051276E-01
20:15:00,5.514445E+03,4.717867E+03,1.946182E-01,3.894643E-01
20:30:00,5.508046E+03,4.576152E+03,1.943921E-01,3.777666E-01
20:45:00,5.502497E+03,4.452526E+03,1.941961E-01,3.675626E-01
21:00:00,5.497546E+03,4.338108E+03,1.940212E-01,3.581185E-01
21:15:00,5.503642E+03,4.213705E+03,1.942362E-01,3.478501E-01
21:30:00,5.514037E+03,4.086141E+03,1.946028E-01,3.373210E-01
21:45:00,5.526774E+03,3.956452E+03,1.950521E-01,3.266160E-01
22:00:00,5.541259E+03,3.824839E+03,1.955632E-01,3.157518E-01
22:15:00,5.569919E+03,3.682257E+03,1.965746E-01,3.039821E-01
22:30:00,5.600308E+03,3.540515E+03,1.976469E-01,2.922820E-01
22:45:00,5.632079E+03,3.400201E+03,1.987680E-01,2.806996E-01
23:00:00,5.664991E+03,3.261723E+03,1.999293E-01,2.692689E-01
23:15:00,5.694268E+03,3.127639E+03,2.009623E-01,2.582001E-01
23:30:00,5.723526E+03,2.994433E+03,2.019947E-01,2.472031E-01
