Time,LIVING_UNIT1:MINNEAPOLIS ST PAUL INTL ARP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING_UNIT1:MINNEAPOLIS ST PAUL INTL ARP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING_UNIT1:MINNEAPOLIS ST PAUL INTL ARP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING_UNIT1:MINNEAPOLIS ST PAUL INTL ARP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,1.456303E+04,1.692072E+03,5.136529E-01,1.397314E-01
00:30:00,1.459576E+04,1.589637E+03,5.148072E-01,1.312711E-01
00:45:00,1.462711E+04,1.491282E+03,5.159129E-01,1.231479E-01
01:00:00,1.465758E+04,1.396733E+03,5.169875E-01,1.153390E-01
01:15:00,1.467642E+04,1.317281E+03,5.176517E-01,1.087769E-01
01:30:00,1.469213E+04,1.244085E+03,5.182059E-01,1.027318E-01
01:45:00,1.470585E+04,1.176196E+03,5.186895E-01,9.712501E-02
02:00:00,1.471794E+04,1.113139E+03,5.191163E-01,9.191727E-02
02:15:00,1.472656E+04,1.056024E+03,5.194203E-01,8.720028E-02
02:30:00,1.473382E+04,1.002612E+03,5.196764E-01,8.278928E-02
02:45:00,1.474008E+04,9.525982E+02,5.198973E-01,7.865888E-02
03:00:00,1.474568E+04,9.057691E+02,5.200947E-01,7.479153E-02
03:15:00,1.475042E+04,8.612523E+02,5.202617E-01,7.111518E-02
03:30:00,1.475467E+04,8.187019E+02,5.204115E-01,6.760126E-02
03:45:00,1.475854E+04,7.779475E+02,5.205482E-01,6.423566E-02
04:00:00,1.476210E+04,7.388456E+02,5.206737E-01,6.100655E-02
04:15:00,1.475871E+04,7.081897E+02,5.205540E-01,5.847486E-02
04:30:00,1.475296E+04,6.812642E+02,5.203516E-01,5.625136E-02
04:45:00,1.474569E+04,6.575726E+02,5.200953E-01,5.429493E-02
05:00:00,1.473734E+04,6.368532E+02,5.198009E-01,5.258397E-02
05:15:00,1.471865E+04,6.405329E+02,5.191418E-01,5.288761E-02
