Time,LIVING_UNIT1:SACRAMENTO METROPOLITAN AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING_UNIT1:SACRAMENTO METROPOLITAN AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING_UNIT1:SACRAMENTO METROPOLITAN AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING_UNIT1:SACRAMENTO METROPOLITAN AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,5.380676E+03,1.633594E+03,1.898951E-01,1.348580E-01
00:30:00,5.412912E+03,1.489973E+03,1.910326E-01,1.230014E-01
00:45:00,5.443790E+03,1.353184E+03,1.921223E-01,1.117088E-01
01:00:00,5.473764E+03,1.222983E+03,1.931800E-01,1.009601E-01
01:15:00,5.492380E+03,1.110793E+03,1.938368E-01,9.169833E-02
01:30:00,5.507805E+03,1.007293E+03,1.943811E-01,8.315451E-02
01:45:00,5.521286E+03,9.114229E+02,1.948569E-01,7.524045E-02
02:00:00,5.533298E+03,8.222665E+02,1.952808E-01,6.788061E-02
02:15:00,5.541856E+03,7.406374E+02,1.955828E-01,6.114213E-02
02:30:00,5.549043E+03,6.646439E+02,1.958364E-01,5.486843E-02
02:45:00,5.555219E+03,5.937766E+02,1.960544E-01,4.901795E-02
03:00:00,5.560619E+03,5.279209E+02,1.962449E-01,4.358122E-02
03:15:00,5.565166E+03,4.658785E+02,1.964054E-01,3.845932E-02
03:30:00,5.569235E+03,4.073734E+02,1.965490E-01,3.362947E-02
03:45:00,5.572933E+03,3.524384E+02,1.966795E-01,2.909437E-02
04:00:00,5.576316E+03,3.015376E+02,1.967988E-01,2.489234E-02
04:15:00,5.572960E+03,2.607354E+02,1.966804E-01,2.152397E-02
04:30:00,5.567337E+03,2.258684E+02,1.964820E-01,1.864560E-02
04:45:00,5.560245E+03,1.967446E+02,1.962318E-01,1.624137E-02
05:00:00,5.552008E+03,1.712407E+02,1.959411E-01,1.413597E-02
05:15:00,5.533743E+03,1.622125E+02,1.952966E-01,1.339065E-02
05:30:00,5.512511E+03,1.825700E+02,1.945474E-01,1.507116E-02
05:45:00,5.489341E+03,2.652009E+02,1.937298E-01,2.189251E-02
06:00:00,5.464699E+03,4.179533E+02,1.928603E-01,3.450291E-02
06:15:00,5.442797E+03,6.403379E+02,1.920875E-01,5.286162E-02
06:30:00,5.422090E+03,9.109902E+02,1.913568E-01,7.520466E-02
06:45:00,5.401962E+03,1.191072E+03,1.906465E-01,9.832596E-02
07:00:00,5.382224E+03,1.468035E+03,1.899501E-01,1.211892E-01
07:15:00,5.375531E+03,1.727208E+03,1.897140E-01,1.425837E-01
07:30:00,5.370953E+03,1.978996E+03,1.895525E-01,1.633687E-01
07:45:00,5.367686E+03,2.224605E+03,1.894372E-01,1.836436E-01
08:00:00,5.365390E+03,2.468435E+03,1.893561E-01,2.037715E-01
08:15:00,5.402367E+03,2.668246E+03,1.906611E-01,2.202656E-01
08:30:00,5.444280E+03,2.859692E+03,1.921400E-01,2.360691E-01
08:45:00,5.489297E+03,3.048260E+03,1.937283E-01,2.516351E-01
09:00:00,5.536716E+03,3.234643E+03,1.954012E-01,2.670207E-01
09:15:00,5.560261E+03,3.437725E+03,1.962315E-01,2.837849E-01
09:30:00,5.582520E+03,3.633354E+03,1.970166E-01,2.999342E-01
09:45:00,5.604271E+03,3.819891E+03,1.977839E-01,3.153330E-01
10:00:00,5.625596E+03,3.995879E+03,1.985361E-01,3.298610E-01
10:15:00,5.632088E+03,4.172692E+03,1.987649E-01,3.444577E-01
10:30:00,5.636904E+03,4.339499E+03,1.989347E-01,3.582280E-01
10:45:00,5.640591E+03,4.495383E+03,1.990648E-01,3.710967E-01
11:00:00,5.643499E+03,4.641251E+03,1.991673E-01,3.831391E-01
11:15:00,5.645374E+03,4.769671E+03,1.992335E-01,3.937410E-01
11:30:00,5.646840E+03,4.888477E+03,1.992852E-01,4.035492E-01
11:45:00,5.648079E+03,5.002395E+03,1.993289E-01,4.129546E-01
12:00:00,5.649147E+03,5.114617E+03,1.993666E-01,4.222198E-01
12:15:00,5.649972E+03,5.240087E+03,1.993958E-01,4.325795E-01
12:30:00,5.650788E+03,5.375354E+03,1.994246E-01,4.437486E-01
12:45:00,5.651582E+03,5.521097E+03,1.994526E-01,4.557819E-01
13:00:00,5.652353E+03,5.678703E+03,1.994798E-01,4.687955E-01
13:15:00,5.653507E+03,5.847658E+03,1.995206E-01,4.827466E-01
13:30:00,5.654563E+03,6.026365E+03,1.995579E-01,4.975025E-01
13:45:00,5.655543E+03,6.211977E+03,1.995925E-01,5.128330E-01
14:00:00,5.656463E+03,6.402082E+03,1.996249E-01,5.285345E-01
14:15:00,5.656903E+03,6.589967E+03,1.996404E-01,5.440515E-01
14:30:00,5.657193E+03,6.771031E+03,1.996506E-01,5.590056E-01
14:45:00,5.657366E+03,6.941148E+03,1.996567E-01,5.730484E-01
15:00:00,5.657443E+03,7.096397E+03,1.996594E-01,5.858595E-01
15:15:00,5.650660E+03,7.239456E+03,1.994200E-01,5.976636E-01
15:30:00,5.641986E+03,7.361963E+03,1.991139E-01,6.077689E-01
15:45:00,5.632187E+03,7.461622E+03,1.987681E-01,6.159893E-01
16:00:00,5.621535E+03,7.536279E+03,1.983923E-01,6.221475E-01
16:15:00,5.591996E+03,7.610902E+03,1.973499E-01,6.283027E-01
16:30:00,5.558153E+03,7.669942E+03,1.961558E-01,6.331737E-01
16:45:00,5.521619E+03,7.708914E+03,1.948668E-01,6.363881E-01
17:00:00,5.483040E+03,7.728314E+03,1.935056E-01,6.379879E-01
17:15:00,5.428558E+03,7.741130E+03,1.915832E-01,6.390449E-01
17:30:00,5.373229E+03,7.730605E+03,1.896311E-01,6.381743E-01
17:45:00,5.317018E+03,7.694767E+03,1.876479E-01,6.352151E-01
18:00:00,5.260170E+03,7.626532E+03,1.856423E-01,6.295819E-01
18:15:00,5.208298E+03,7.506835E+03,1.838123E-01,6.196993E-01
18:30:00,5.157109E+03,7.330863E+03,1.820064E-01,6.051720E-01
