Time,LIVING_UNIT1:SACRAMENTO METROPOLITAN AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING_UNIT1:SACRAMENTO METROPOLITAN AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING_UNIT1:SACRAMENTO METROPOLITAN AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING_UNIT1:SACRAMENTO METROPOLITAN AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,5.195221E+03,2.647192E+03,1.833513E-01,2.185358E-01
00:30:00,5.217887E+03,2.533242E+03,1.841511E-01,2.091285E-01
00:45:00,5.240213E+03,2.420682E+03,1.849389E-01,1.998360E-01
01:00:00,5.262404E+03,2.309499E+03,1.857219E-01,1.906573E-01
01:15:00,5.274685E+03,2.211514E+03,1.861552E-01,1.825681E-01
01:30:00,5.285316E+03,2.117803E+03,1.865303E-01,1.748331E-01
01:45:00,5.295153E+03,2.027929E+03,1.868774E-01,1.674148E-01
02:00:00,5.304397E+03,1.941726E+03,1.872036E-01,1.602996E-01
02:15:00,5.311078E+03,1.860113E+03,1.874394E-01,1.535632E-01
02:30:00,5.317181E+03,1.781391E+03,1.876548E-01,1.470641E-01
02:45:00,5.322903E+03,1.705210E+03,1.878567E-01,1.407748E-01
03:00:00,5.328399E+03,1.631600E+03,1.880506E-01,1.346978E-01
03:15:00,5.333433E+03,1.559500E+03,1.882282E-01,1.287453E-01
03:30:00,5.338273E+03,1.488679E+03,1.883990E-01,1.228985E-01
03:45:00,5.342963E+03,1.419075E+03,1.885645E-01,1.171522E-01
04:00:00,5.347512E+03,1.350710E+03,1.887250E-01,1.115081E-01
04:15:00,5.346042E+03,1.290844E+03,1.886731E-01,1.065656E-01
04:30:00,5.343061E+03,1.234687E+03,1.885680E-01,1.019295E-01
04:45:00,5.339214E+03,1.181717E+03,1.884322E-01,9.755646E-02
05:00:00,5.334677E+03,1.131844E+03,1.882722E-01,9.343902E-02
05:15:00,5.321216E+03,1.101424E+03,1.877972E-01,9.092760E-02
05:30:00,5.305878E+03,1.115092E+03,1.872560E-01,9.205600E-02
05:45:00,5.289465E+03,1.194593E+03,1.866768E-01,9.861950E-02
06:00:00,5.272220E+03,1.339323E+03,1.860683E-01,1.105681E-01
06:15:00,5.257503E+03,1.537486E+03,1.855490E-01,1.269269E-01
06:30:00,5.243477E+03,1.751760E+03,1.850541E-01,1.446147E-01
06:45:00,5.229583E+03,1.952982E+03,1.845638E-01,1.612243E-01
07:00:00,5.215693E+03,2.135320E+03,1.840738E-01,1.762745E-01
07:15:00,5.213926E+03,2.293219E+03,1.840115E-01,1.893076E-01
07:30:00,5.213310E+03,2.440005E+03,1.839898E-01,2.014241E-01
07:45:00,5.213241E+03,2.579419E+03,1.839874E-01,2.129322E-01
08:00:00,5.213533E+03,2.717276E+03,1.839977E-01,2.243120E-01
08:15:00,5.251285E+03,2.812619E+03,1.853301E-01,2.321823E-01
08:30:00,5.292142E+03,2.903774E+03,1.867717E-01,2.397070E-01
08:45:00,5.334520E+03,2.996382E+03,1.882668E-01,2.473516E-01
09:00:00,5.378045E+03,3.091310E+03,1.898025E-01,2.551877E-01
09:15:00,5.397630E+03,3.207264E+03,1.904931E-01,2.647595E-01
09:30:00,5.416124E+03,3.320307E+03,1.911453E-01,2.740914E-01
09:45:00,5.434353E+03,3.428884E+03,1.917883E-01,2.830547E-01
10:00:00,5.452456E+03,3.531724E+03,1.924269E-01,2.915443E-01
10:15:00,5.456266E+03,3.641122E+03,1.925610E-01,3.005756E-01
10:30:00,5.459062E+03,3.744890E+03,1.926596E-01,3.091421E-01
10:45:00,5.461379E+03,3.842285E+03,1.927413E-01,3.171824E-01
11:00:00,5.463362E+03,3.934330E+03,1.928112E-01,3.247815E-01
11:15:00,5.464710E+03,4.018561E+03,1.928587E-01,3.317354E-01
11:30:00,5.465972E+03,4.097238E+03,1.929032E-01,3.382308E-01
11:45:00,5.467150E+03,4.173513E+03,1.929448E-01,3.445284E-01
12:00:00,5.468255E+03,4.250309E+03,1.929838E-01,3.508689E-01
12:15:00,5.469188E+03,4.334873E+03,1.930167E-01,3.578514E-01
12:30:00,5.470157E+03,4.429851E+03,1.930510E-01,3.656941E-01
12:45:00,5.471138E+03,4.536703E+03,1.930856E-01,3.745164E-01
13:00:00,5.472120E+03,4.656086E+03,1.931203E-01,3.843741E-01
13:15:00,5.473516E+03,4.785717E+03,1.931695E-01,3.950783E-01
13:30:00,5.474847E+03,4.924824E+03,1.932165E-01,4.065644E-01
13:45:00,5.476133E+03,5.071200E+03,1.932619E-01,4.186547E-01
14:00:00,5.477381E+03,5.222775E+03,1.933059E-01,4.311741E-01
14:15:00,5.478185E+03,5.373405E+03,1.933343E-01,4.436145E-01
14:30:00,5.478882E+03,5.518775E+03,1.933588E-01,4.556207E-01
14:45:00,5.479499E+03,5.655317E+03,1.933806E-01,4.668918E-01
15:00:00,5.480053E+03,5.779585E+03,1.934001E-01,4.771462E-01
15:15:00,5.474296E+03,5.895115E+03,1.931969E-01,4.866786E-01
15:30:00,5.467337E+03,5.993436E+03,1.929514E-01,4.947887E-01
15:45:00,5.459720E+03,6.072859E+03,1.926826E-01,5.013398E-01
16:00:00,5.451650E+03,6.132242E+03,1.923979E-01,5.062380E-01
16:15:00,5.426177E+03,6.195228E+03,1.914990E-01,5.114336E-01
16:30:00,5.397875E+03,6.247154E+03,1.905004E-01,5.157178E-01
16:45:00,5.367988E+03,6.285840E+03,1.894459E-01,5.189091E-01
17:00:00,5.336862E+03,6.312442E+03,1.883477E-01,5.211038E-01
17:15:00,5.290485E+03,6.339916E+03,1.867113E-01,5.233710E-01
17:30:00,5.243491E+03,6.353612E+03,1.850533E-01,5.245003E-01
17:45:00,5.195917E+03,6.351825E+03,1.833748E-01,5.243522E-01
18:00:00,5.147787E+03,6.328888E+03,1.816768E-01,5.224585E-01
18:15:00,5.104047E+03,6.268287E+03,1.801338E-01,5.174547E-01
18:30:00,5.060651E+03,6.167315E+03,1.786029E-01,5.091188E-01
18:45:00,5.017249E+03,6.017339E+03,1.770717E-01,4.967372E-01
19:00:00,4.973743E+03,5.804835E+03,1.755368E-01,4.791937E-01
19:15:00,4.958079E+03,5.515109E+03,1.749844E-01,4.552759E-01
19:30:00,4.943363E+03,5.212782E+03,1.744652E-01,4.303180E-01
19:45:00,4.929017E+03,4.937615E+03,1.739590E-01,4.076029E-01
20:00:00,4.914903E+03,4.718357E+03,1.734609E-01,3.895035E-01
20:15:00,4.906800E+03,4.558801E+03,1.731748E-01,3.763331E-01
20:30:00,4.900292E+03,4.437987E+03,1.729450E-01,3.663607E-01
