Time,LIVING_UNIT1:MINNEAPOLIS ST PAUL INTL ARP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING_UNIT1:MINNEAPOLIS ST PAUL INTL ARP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING_UNIT1:MINNEAPOLIS ST PAUL INTL ARP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING_UNIT1:MINNEAPOLIS ST PAUL INTL ARP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
19:15:00,1.381416E+04,5.162580E+03,4.872528E-01,4.262391E-01
19:30:00,1.379357E+04,4.820102E+03,4.865268E-01,3.979610E-01
19:45:00,1.377411E+04,4.472371E+03,4.858404E-01,3.692494E-01
20:00:00,1.375549E+04,4.161543E+03,4.851829E-01,3.435868E-01
20:15:00,1.374439E+04,3.902844E+03,4.847910E-01,3.222294E-01
20:30:00,1.373625E+04,3.711997E+03,4.845031E-01,3.064765E-01
20:45:00,1.373005E+04,3.558905E+03,4.842834E-01,2.938420E-01
21:00:00,1.372528E+04,3.426418E+03,4.841148E-01,2.829094E-01
21:15:00,1.373456E+04,3.291258E+03,4.844417E-01,2.717575E-01
21:30:00,1.375093E+04,3.157399E+03,4.850181E-01,2.607107E-01
21:45:00,1.377167E+04,3.025108E+03,4.857491E-01,2.497919E-01
22:00:00,1.379569E+04,2.893105E+03,4.865959E-01,2.388942E-01
22:15:00,1.383570E+04,2.751398E+03,4.880070E-01,2.271923E-01
22:30:00,1.387883E+04,2.612338E+03,4.895281E-01,2.157085E-01
22:45:00,1.392427E+04,2.474502E+03,4.911302E-01,2.043320E-01
23:00:00,1.397139E+04,2.339237E+03,4.927916E-01,1.931680E-01
23:15:00,1.401458E+04,2.210132E+03,4.943145E-01,1.825125E-01
23:30:00,1.405734E+04,2.082720E+03,4.958225E-01,1.719960E-01
23:45:00,1.409996E+04,1.958245E+03,4.973254E-01,1.617155E-01
24:00:00,1.414255E+04,1.835716E+03,4.988272E-01,1.515953E-01
Peak,1.445466E+04,5.982529E+03,5.098269E-01,4.939608E-01

Peak Vol Flow (m3/s),,,4.363160E-01,4.227376E-01
