Time,LIVING_UNIT1:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING_UNIT1:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING_UNIT1:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING_UNIT1:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,4.218162E+03,3.974195E+03,1.488860E-01,3.280584E-01
00:30:00,4.250157E+03,3.839592E+03,1.500152E-01,3.169473E-01
00:45:00,4.280842E+03,3.712109E+03,1.510982E-01,3.064237E-01
01:00:00,4.310641E+03,3.591101E+03,1.521499E-01,2.964348E-01
01:15:00,4.329118E+03,3.488297E+03,1.528019E-01,2.879485E-01
01:30:00,4.344503E+03,3.394564E+03,1.533449E-01,2.802110E-01
01:45:00,4.358005E+03,3.308505E+03,1.538214E-01,2.731070E-01
02:00:00,4.370056E+03,3.229432E+03,1.542468E-01,2.665797E-01
02:15:00,4.378668E+03,3.158021E+03,1.545507E-01,2.606849E-01
02:30:00,4.385921E+03,3.091781E+03,1.548067E-01,2.552169E-01
02:45:00,4.392163E+03,3.030181E+03,1.550270E-01,2.501321E-01
03:00:00,4.397624E+03,2.972862E+03,1.552197E-01,2.454006E-01
03:15:00,4.402226E+03,2.918634E+03,1.553821E-01,2.409242E-01
03:30:00,4.406346E+03,2.867026E+03,1.555275E-01,2.366641E-01
03:45:00,4.410089E+03,2.817785E+03,1.556596E-01,2.325993E-01
04:00:00,4.413508E+03,2.770706E+03,1.557803E-01,2.287132E-01
04:15:00,4.410205E+03,2.733441E+03,1.556637E-01,2.256371E-01
04:30:00,4.404699E+03,2.701059E+03,1.554694E-01,2.229640E-01
04:45:00,4.397750E+03,2.672678E+03,1.552241E-01,2.206213E-01
05:00:00,4.389662E+03,2.647917E+03,1.549387E-01,2.185773E-01
05:15:00,4.371556E+03,2.638816E+03,1.542997E-01,2.178260E-01
05:30:00,4.350557E+03,2.638196E+03,1.535586E-01,2.177749E-01
05:45:00,4.327670E+03,2.645487E+03,1.527508E-01,2.183768E-01
06:00:00,4.303322E+03,2.695393E+03,1.518915E-01,2.224964E-01
06:15:00,4.281706E+03,2.827088E+03,1.511286E-01,2.333674E-01
06:30:00,4.261219E+03,3.060101E+03,1.504056E-01,2.526020E-01
06:45:00,4.241268E+03,3.389836E+03,1.497015E-01,2.798209E-01
07:00:00,4.221688E+03,3.759469E+03,1.490104E-01,3.103337E-01
07:15:00,4.215133E+03,4.118376E+03,1.487792E-01,3.399610E-01
07:30:00,4.210617E+03,4.454785E+03,1.486198E-01,3.677314E-01
07:45:00,4.207366E+03,4.765619E+03,1.485051E-01,3.933903E-01
08:00:00,4.205069E+03,5.067910E+03,1.484241E-01,4.183440E-01
08:15:00,4.241987E+03,5.313756E+03,1.497271E-01,4.386381E-01
08:30:00,4.283662E+03,5.533026E+03,1.511979E-01,4.567381E-01
08:45:00,4.328356E+03,5.733557E+03,1.527752E-01,4.732911E-01
09:00:00,4.375421E+03,5.920590E+03,1.544361E-01,4.887299E-01
09:15:00,4.398628E+03,6.117903E+03,1.552548E-01,5.050170E-01
09:30:00,4.420644E+03,6.303724E+03,1.560315E-01,5.203556E-01
09:45:00,4.442213E+03,6.479863E+03,1.567925E-01,5.348949E-01
10:00:00,4.463384E+03,6.645823E+03,1.575395E-01,5.485939E-01
10:15:00,4.469751E+03,6.801021E+03,1.577640E-01,5.614045E-01
10:30:00,4.474525E+03,6.944369E+03,1.579323E-01,5.732371E-01
10:45:00,4.478200E+03,7.075569E+03,1.580619E-01,5.840668E-01
11:00:00,4.481111E+03,7.175989E+03,1.581646E-01,5.923558E-01
11:15:00,4.482999E+03,7.264829E+03,1.582312E-01,5.996889E-01
11:30:00,4.484482E+03,7.315600E+03,1.582835E-01,6.038793E-01
11:45:00,4.485740E+03,7.346375E+03,1.583279E-01,6.064192E-01
12:00:00,4.486829E+03,7.383293E+03,1.583664E-01,6.094663E-01
12:15:00,4.487674E+03,7.422524E+03,1.583962E-01,6.127038E-01
12:30:00,4.488503E+03,7.486468E+03,1.584255E-01,6.179815E-01
12:45:00,4.489308E+03,7.565640E+03,1.584539E-01,6.245157E-01
13:00:00,4.490085E+03,7.658295E+03,1.584813E-01,6.321624E-01
13:15:00,4.491244E+03,7.763347E+03,1.585222E-01,6.408327E-01
13:30:00,4.492305E+03,7.880890E+03,1.585597E-01,6.505342E-01
13:45:00,4.493291E+03,8.029859E+03,1.585945E-01,6.628285E-01
14:00:00,4.494215E+03,8.193714E+03,1.586271E-01,6.763515E-01
14:15:00,4.494659E+03,8.362391E+03,1.586428E-01,6.902724E-01
14:30:00,4.494957E+03,8.553967E+03,1.586532E-01,7.060835E-01
14:45:00,4.495139E+03,8.729087E+03,1.586597E-01,7.205380E-01
15:00:00,4.495227E+03,8.891194E+03,1.586627E-01,7.339198E-01
15:15:00,4.488467E+03,9.062497E+03,1.584241E-01,7.480624E-01
15:30:00,4.479887E+03,9.208672E+03,1.581213E-01,7.601317E-01
15:45:00,4.470213E+03,9.332349E+03,1.577799E-01,7.703447E-01
16:00:00,4.459697E+03,9.442308E+03,1.574088E-01,7.794245E-01
16:15:00,4.430332E+03,9.544792E+03,1.563724E-01,7.878864E-01
16:30:00,4.396790E+03,9.631630E+03,1.551886E-01,7.950565E-01
16:45:00,4.360638E+03,9.707900E+03,1.539128E-01,8.013539E-01
17:00:00,4.322467E+03,9.762194E+03,1.525658E-01,8.058375E-01
17:15:00,4.268518E+03,9.808725E+03,1.506618E-01,8.096801E-01
17:30:00,4.213619E+03,9.828181E+03,1.487244E-01,8.112878E-01
17:45:00,4.157827E+03,9.813326E+03,1.467556E-01,8.100634E-01
18:00:00,4.101402E+03,9.760561E+03,1.447644E-01,8.057093E-01
18:15:00,4.049821E+03,9.652047E+03,1.429443E-01,7.967530E-01
18:30:00,3.998984E+03,9.497638E+03,1.411503E-01,7.840079E-01
18:45:00,3.948498E+03,9.274184E+03,1.393688E-01,7.655630E-01
19:00:00,3.898254E+03,8.958997E+03,1.375957E-01,7.395457E-01
19:15:00,3.876630E+03,8.533776E+03,1.368328E-01,7.044450E-01
19:30:00,3.856837E+03,8.071576E+03,1.361344E-01,6.662914E-01
19:45:00,3.838182E+03,7.634996E+03,1.354760E-01,6.302525E-01
20:00:00,3.820287E+03,7.271289E+03,1.348444E-01,6.002290E-01
20:15:00,3.809531E+03,6.993298E+03,1.344647E-01,5.772812E-01
20:30:00,3.801453E+03,6.765515E+03,1.341795E-01,5.584779E-01
20:45:00,3.795096E+03,6.560626E+03,1.339550E-01,5.415645E-01
21:00:00,3.790150E+03,6.368957E+03,1.337804E-01,5.257423E-01
21:15:00,3.798323E+03,6.168753E+03,1.340687E-01,5.092158E-01
21:30:00,3.812919E+03,5.967222E+03,1.345838E-01,4.925797E-01
21:45:00,3.831674E+03,5.766546E+03,1.352456E-01,4.760143E-01
22:00:00,3.853591E+03,5.567806E+03,1.360191E-01,4.596087E-01
22:15:00,3.891134E+03,5.362162E+03,1.373442E-01,4.426333E-01
22:30:00,3.931880E+03,5.162032E+03,1.387823E-01,4.261130E-01
22:45:00,3.974932E+03,4.968438E+03,1.403017E-01,4.101322E-01
23:00:00,4.019708E+03,4.781949E+03,1.418820E-01,3.947379E-01
23:15:00,4.061052E+03,4.606239E+03,1.433412E-01,3.802331E-01
23:30:00,4.102058E+03,4.437315E+03,1.447884E-01,3.662886E-01
23:45:00,4.143066E+03,4.274413E+03,1.462357E-01,3.528411E-01
24:00:00,4.184124E+03,4.117176E+03,1.476847E-01,3.398614E-01
Peak,4.495227E+03,9.828181E+03,1.586627E-01,8.112878E-01

Peak Vol Flow (m3/s),,,1.371373E-01,7.012223E-01
